wavenumber (1/cm),cross section (cm^2)
9669.000,1.341E-24
9670.000,1.242E-24
9671.000,1.226E-24
9672.000,1.210E-24
9673.000,1.194E-24
9674.000,1.069E-24
9675.000,9.448E-25
9676.000,9.317E-25
9677.000,9.185E-25
9678.000,9.054E-25
9679.000,8.858E-25
9680.000,8.663E-25
9681.000,8.467E-25
9682.000,9.524E-25
9683.000,1.058E-24
9684.000,1.076E-24
9685.000,1.093E-24
9686.000,1.111E-24
9687.000,1.129E-24
9688.000,1.146E-24
9689.000,1.164E-24
9690.000,1.043E-24
9691.000,9.215E-25
9692.000,8.937E-25
9693.000,8.658E-25
9694.000,8.380E-25
9695.000,8.662E-25
9696.000,8.944E-25
9697.000,9.689E-25
9698.000,1.043E-24
9699.000,1.118E-24
9700.000,1.075E-24
9701.000,1.033E-24
9702.000,9.899E-25
9703.000,9.683E-25
9704.000,9.466E-25
9705.000,9.761E-25
9706.000,1.006E-24
9707.000,1.035E-24
9708.000,1.049E-24
9709.000,1.063E-24
9710.000,1.077E-24
9711.000,1.060E-24
9712.000,1.043E-24
9713.000,1.089E-24
9714.000,1.134E-24
9715.000,1.180E-24
9716.000,1.152E-24
9717.000,1.123E-24
9718.000,1.095E-24
9719.000,1.190E-24
9720.000,1.284E-24
9721.000,1.212E-24
9722.000,1.140E-24
9723.000,1.068E-24
9724.000,1.112E-24
9725.000,1.155E-24
9726.000,1.199E-24
9727.000,1.198E-24
9728.000,1.197E-24
9729.000,1.184E-24
9730.000,1.172E-24
9731.000,1.159E-24
9732.000,1.127E-24
9733.000,1.096E-24
9734.000,1.064E-24
9735.000,1.106E-24
9736.000,1.147E-24
9737.000,1.088E-24
9738.000,1.029E-24
9739.000,9.702E-25
9740.000,1.022E-24
9741.000,1.074E-24
9742.000,1.126E-24
9743.000,1.146E-24
9744.000,1.166E-24
9745.000,1.150E-24
9746.000,1.135E-24
9747.000,1.119E-24
9748.000,1.094E-24
9749.000,1.069E-24
