wavenumber[1/cm],cross section[cm^2]
810.0056,3.124e-20
810.0176529361115,3.526e-20
810.0297058722232,4.106e-20
810.0417588083347,3.763e-20
810.0538117444463,3.038e-20
810.0658646805579,2.733e-20
810.0779176166695,2.977e-20
810.0899705527811,3.411e-20
810.1020234888927,3.59e-20
810.1140764250042,3.492e-20
810.1261293611159,3.629e-20
810.1381822972274,3.916e-20
810.150235233339,3.599e-20
810.1622881694507,3.319e-20
810.1743411055622,4.22e-20
810.1863940416738,5.096e-20
810.1984469777854,4.686e-20
810.210499913897,4.331e-20
810.2225528500086,4.773e-20
810.2346057861201,4.75e-20
810.2466587222317,4.254e-20
810.2587116583434,4.366e-20
810.2707645944549,4.605e-20
810.2828175305665,4.383e-20
810.2948704666782,4.443e-20
810.3069234027897,4.539e-20
810.3189763389013,3.914e-20
810.3310292750128,3.806e-20
810.3430822111245,4.557e-20
810.3551351472361,4.192e-20
810.3671880833476,3.129e-20
810.3792410194592,3.384e-20
810.3912939555709,3.873e-20
810.4033468916824,3.127e-20
810.415399827794,2.546e-20
810.4274527639055,3.296e-20
810.4395057000172,4.108e-20
810.4515586361288,3.645e-20
810.4636115722403,3.066e-20
810.475664508352,3.83e-20
810.4877174444636,4.621e-20
810.4997703805751,4.389e-20
810.5118233166867,4.293e-20
810.5238762527983,4.337e-20
810.5359291889099,3.951e-20
810.5479821250215,3.949e-20
810.560035061133,4.354e-20
810.5720879972447,4.496e-20
810.5841409333563,4.414e-20
810.5961938694678,4.31e-20
810.6082468055795,4.438e-20
810.620299741691,4.364e-20
810.6323526778026,3.722e-20
810.6444056139142,3.634e-20
810.6564585500258,4.297e-20
810.6685114861374,4.665e-20
810.680564422249,4.205e-20
810.6926173583605,3.197e-20
810.7046702944722,3.697e-20
810.7167232305837,5.26e-20
810.7287761666953,4.193e-20
810.740829102807,2.647e-20
810.7528820389185,3.693e-20
810.7649349750301,3.674e-20
810.7769879111416,2.738e-20
810.7890408472533,3.732e-20
810.8010937833649,3.691e-20
810.8131467194764,2.923e-20
810.825199655588,4.096e-20
810.8372525916997,4.423e-20
810.8493055278112,3.884e-20
810.8613584639228,4.457e-20
810.8734114000345,4.155e-20
810.885464336146,3.824e-20
810.8975172722576,4.537e-20
810.9095702083691,3.916e-20
810.9216231444808,3.432e-20
810.9336760805924,4.309e-20
810.9457290167039,4.229e-20
810.9577819528155,4.005e-20
810.9698348889272,4.206e-20
810.9818878250387,3.852e-20
810.9939407611503,4.179e-20
811.0059936972618,4.234e-20
811.0180466333735,3.332e-20
811.0300995694851,3.922e-20
811.0421525055966,4.527e-20
811.0542054417083,3.488e-20
811.0662583778198,3.509e-20
811.0783113139314,4.297e-20
811.090364250043,3.84e-20
811.1024171861546,3.309e-20
811.1144701222662,3.216e-20
811.1265230583778,3.078e-20
811.1385759944893,3.398e-20
811.150628930601,3.856e-20
811.1626818667125,3.893e-20
811.1747348028241,4.053e-20
811.1867877389358,4.579e-20
811.1988406750473,4.951e-20
811.2108936111589,5.061e-20
811.2229465472705,5.131e-20
811.2349994833821,4.98e-20
811.2470524194937,4.836e-20
811.2591053556052,5.087e-20
811.2711582917168,4.941e-20
811.2832112278285,4.247e-20
811.29526416394,4.249e-20
811.3073171000516,4.799e-20
811.3193700361633,4.859e-20
811.3314229722748,4.553e-20
811.3434759083864,4.249e-20
811.3555288444979,4.036e-20
811.3675817806096,4.072e-20
811.3796347167212,4.049e-20
811.3916876528327,3.57e-20
811.4037405889443,3.377e-20
811.415793525056,4.044e-20
811.4278464611675,4.085e-20
811.4398993972791,3.141e-20
811.4519523333908,3.288e-20
811.4640052695023,4.024e-20
811.4760582056139,3.652e-20
811.4881111417254,3.405e-20
811.5001640778371,3.734e-20
811.5122170139487,3.886e-20
811.5242699500602,4.224e-20
811.5363228861718,3.958e-20
811.5483758222834,3.422e-20
811.560428758395,4.315e-20
811.5724816945066,4.638e-20
811.5845346306181,3.619e-20
811.5965875667298,4.182e-20
811.6086405028414,5.303e-20
811.6206934389529,4.984e-20
811.6327463750646,4.928e-20
811.6447993111761,5.1e-20
811.6568522472877,4.462e-20
811.6689051833993,4.13e-20
811.6809581195109,4.3e-20
811.6930110556225,4.21e-20
811.705063991734,3.901e-20
811.7171169278456,3.99e-20
811.7291698639573,4.735e-20
811.7412228000688,4.852e-20
811.7532757361804,3.96e-20
811.7653286722921,3.635e-20
811.7773816084036,3.937e-20
811.7894345445152,3.936e-20
811.8014874806267,3.711e-20
811.8135404167384,3.346e-20
811.82559335285,3.263e-20
811.8376462889615,3.948e-20
811.8496992250731,4.636e-20
811.8617521611848,4.483e-20
811.8738050972963,3.968e-20
811.8858580334079,4.103e-20
811.8979109695196,4.571e-20
811.9099639056311,4.437e-20
811.9220168417427,4.306e-20
811.9340697778542,4.506e-20
811.9461227139659,4.529e-20
811.9581756500775,5.08e-20
811.970228586189,5.573e-20
811.9822815223006,4.678e-20
811.9943344584123,4.138e-20
812.0063873945238,4.839e-20
812.0184403306354,4.944e-20
812.030493266747,4.298e-20
812.0425462028586,3.872e-20
812.0545991389702,3.982e-20
812.0666520750817,4.303e-20
812.0787050111934,3.912e-20
812.090757947305,3.602e-20
812.1028108834165,4.219e-20
812.1148638195281,4.1e-20
812.1269167556397,3.158e-20
812.1389696917513,3.09e-20
812.1510226278629,3.559e-20
812.1630755639744,3.763e-20
812.1751285000861,3.832e-20
812.1871814361976,3.967e-20
812.1992343723092,4.377e-20
812.2112873084209,4.597e-20
812.2233402445324,4.362e-20
812.235393180644,4.448e-20
812.2474461167556,4.931e-20
812.2594990528672,5.109e-20
812.2715519889788,4.725e-20
812.2836049250903,4.208e-20
812.2956578612019,4.24e-20
812.3077107973136,4.538e-20
812.3197637334251,4.531e-20
812.3318166695367,4.552e-20
812.3438696056484,4.557e-20
812.3559225417599,4.367e-20
812.3679754778715,4.323e-20
812.380028413983,4.19e-20
812.3920813500947,3.986e-20
812.4041342862063,4.17e-20
812.4161872223178,4.315e-20
812.4282401584294,4.105e-20
812.4402930945411,3.928e-20
812.4523460306526,3.975e-20
812.4643989667642,4.022e-20
812.4764519028759,3.888e-20
812.4885048389874,3.923e-20
812.500557775099,4.05e-20
812.5126107112105,3.82e-20
812.5246636473222,4.041e-20
812.5367165834338,4.775e-20
812.5487695195453,4.612e-20
812.5608224556569,3.997e-20
812.5728753917685,3.962e-20
812.5849283278801,4.018e-20
812.5969812639917,4.373e-20
812.6090342001033,5.166e-20
812.6210871362149,5.207e-20
812.6331400723265,4.643e-20
812.645193008438,4.818e-20
812.6572459445497,5.478e-20
812.6692988806612,5.228e-20
812.6813518167728,4.296e-20
812.6934047528844,4.243e-20
812.705457688996,4.764e-20
812.7175106251076,4.736e-20
812.7295635612192,4.735e-20
812.7416164973307,4.69e-20
812.7536694334424,4.084e-20
812.7657223695539,3.866e-20
812.7777753056655,3.951e-20
812.7898282417772,3.921e-20
812.8018811778887,4.593e-20
812.8139341140003,4.774e-20
812.8259870501118,3.329e-20
812.8380399862235,2.912e-20
812.8500929223351,4.571e-20
812.8621458584466,5.192e-20
812.8741987945582,3.993e-20
812.8862517306699,3.658e-20
812.8983046667814,4.648e-20
812.910357602893,5.254e-20
812.9224105390047,5.331e-20
812.9344634751162,5.281e-20
812.9465164112278,5.106e-20
812.9585693473393,5.347e-20
812.970622283451,5.736e-20
812.9826752195626,5.663e-20
812.9947281556741,5.54e-20
813.0067810917857,5.201e-20
813.0188340278974,4.832e-20
813.0308869640089,5.292e-20
813.0429399001205,5.403e-20
813.0549928362321,4.548e-20
813.0670457723437,4.373e-20
813.0790987084553,4.876e-20
813.0911516445668,4.823e-20
813.1032045806785,4.228e-20
813.11525751679,4.081e-20
813.1273104529016,4.961e-20
813.1393633890132,5.179e-20
813.1514163251248,4.012e-20
813.1634692612364,3.99e-20
813.175522197348,5.072e-20
813.1875751334596,4.934e-20
813.1996280695712,4.313e-20
813.2116810056827,4.427e-20
813.2237339417943,4.771e-20
813.235786877906,4.839e-20
813.2478398140175,4.404e-20
813.2598927501291,4.212e-20
813.2719456862407,4.725e-20
813.2839986223523,5.126e-20
813.2960515584639,5.417e-20
813.3081044945754,5.53e-20
813.320157430687,5.191e-20
813.3322103667987,5.33e-20
813.3442633029102,5.532e-20
813.3563162390218,5.166e-20
813.3683691751335,5.174e-20
813.380422111245,4.938e-20
813.3924750473566,4.328e-20
813.4045279834681,4.617e-20
813.4165809195798,4.81e-20
813.4286338556914,4.634e-20
813.4406867918029,5.077e-20
813.4527397279145,5.086e-20
813.4647926640262,4.524e-20
813.4768456001377,4.186e-20
813.4888985362493,4.064e-20
813.500951472361,4.651e-20
813.5130044084725,4.821e-20
813.5250573445841,4.003e-20
